"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 16:24:38 GMT 2024","Wed Jun 12 16:24:38 GMT 2024","37","tests.api","test_api_signup","","","","test_signup_with_too_short_firstname",""
"passed","Wed Jun 12 16:24:49 GMT 2024","Wed Jun 12 16:24:50 GMT 2024","686","tests","test_login","","","","test_failed_login",""
"failed","Wed Jun 12 16:24:38 GMT 2024","Wed Jun 12 16:24:38 GMT 2024","11","tests.api","test_api_signup","","","","test_signup_with_too_short_lastname",""
"broken","Wed Jun 12 16:24:38 GMT 2024","Wed Jun 12 16:24:38 GMT 2024","0","tests","test_edit","","","","test_autocomplete",""
"passed","Wed Jun 12 16:24:41 GMT 2024","Wed Jun 12 16:24:44 GMT 2024","2669","tests","test_edit","","","","test_edit",""
"passed","Wed Jun 12 16:24:37 GMT 2024","Wed Jun 12 16:24:38 GMT 2024","310","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Wed Jun 12 16:24:48 GMT 2024","Wed Jun 12 16:24:49 GMT 2024","685","tests","test_login","","","","test_successful_login",""
"passed","Wed Jun 12 16:24:45 GMT 2024","Wed Jun 12 16:24:46 GMT 2024","1320","tests","test_email","","","","test_successful_email_sending",""
"passed","Wed Jun 12 16:24:37 GMT 2024","Wed Jun 12 16:24:37 GMT 2024","16","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Wed Jun 12 16:24:37 GMT 2024","Wed Jun 12 16:24:37 GMT 2024","746","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Wed Jun 12 16:24:38 GMT 2024","Wed Jun 12 16:24:38 GMT 2024","317","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Wed Jun 12 16:24:48 GMT 2024","Wed Jun 12 16:24:48 GMT 2024","43","tests","test_home","","","","test_successful_login",""
